# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	2431
#@/user_id	5b754ccd-decf-4aa1-80f7-2bdb3ab9e58b
a 	啊	c=8 d=1.91803 t=2431
hen chou 	很醜	c=1 d=0.0944202 t=2431
hen duo 	很多	c=3 d=0.819224 t=2431
hen duo qian 	很多前	c=1 d=0.66365 t=2431
hen hao 	很好	c=2 d=0.163491 t=2431
hen hao chi 	很好吃	c=1 d=1 t=1756
hen hao wan 	很好玩	c=4 d=0.494109 t=2431
hen hao yong 	很好用	c=1 d=0.000567086 t=2431
hen jin 	很近	c=1 d=0.0166557 t=2431
hen kuai 	很快	c=1 d=0.449329 t=2431
hen leng 	很冷	c=1 d=1 t=2323
hen nan 	很難	c=1 d=0.0319048 t=2431
hen shu fu 	很舒服	c=1 d=1 t=2350
hen you 	很有	c=1 d=0.00140882 t=2431
hen you yi si 	很有意思	c=2 d=0.341298 t=2431
hen yuan 	很遠	c=1 d=1 t=2312
heng 	哼	c=1 d=1 t=1652
hong se 	紅色	c=1 d=0.113042 t=2431
hong yi 	紅移	c=2 d=0.00861508 t=2431
hou 	後	c=1 d=0.0284388 t=2431
hou mian 	後面	c=1 d=1 t=1532
hou zi 	猴子	c=1 d=1 t=1691
hu shuo 	胡說	c=1 d=1 t=2248
hua 	滑	c=0 d=0.1 t=2414
hua 	話	c=11 d=2.11278 t=2431
hua ban 	滑板	c=1 d=1.056 t=2414
hua bing 	滑冰	c=5 d=4.51377 t=2418
hua hua ban 	滑滑板	c=1 d=1 t=2415
hua mian 	畫面	c=1 d=1 t=2288
huan le 	換了	c=1 d=1 t=1610
huan le 	歡樂	c=1 d=1 t=1837
huan zhuang 	環狀	c=1 d=0.0200405 t=2431
huang tu 	黃土	c=3 d=2.73529 t=1878
hui 	會	c=10 d=1.23401 t=2431
hui bu hui 	會不會	c=1 d=0.0378169 t=2431
hui dao 	回到	c=1 d=0.00172937 t=2431
hui de 	會的	c=0 d=0.1 t=1816
hui de ne 	會的呢	c=1 d=1 t=1817
hui dui 	會對	c=1 d=0.00341356 t=2431
hui fa xian 	會發現	c=1 d=0.017249 t=2431
hui jia 	回家	c=1 d=0.00224287 t=2431
hui shi 	回事	c=1 d=0.00353515 t=2431
